,fname,height,width,colors,info,xmin_coco,ymin_coco,xmax_coco,ymax_coco,xmin_alb,ymin_alb,xmax_alb,ymax_alb,label,kfold
0,C:\Users\Oleg\Google Drive\Projects\cv\cat dogs classifier\data\Abyssinian_1.jpg,400,600,3,['1 333 72 425 158'],333,72,425,158,0.555,0.18,0.7083333333333334,0.395,1,2
1,C:\Users\Oleg\Google Drive\Projects\cv\cat dogs classifier\data\Abyssinian_10.jpg,500,375,3,['1 72 105 288 291'],72,105,288,291,0.192,0.21,0.768,0.582,1,3
2,C:\Users\Oleg\Google Drive\Projects\cv\cat dogs classifier\data\Abyssinian_100.jpg,500,394,3,['1 151 71 335 267'],151,71,335,267,0.383248730964467,0.142,0.850253807106599,0.534,1,3
3,C:\Users\Oleg\Google Drive\Projects\cv\cat dogs classifier\data\Abyssinian_101.jpg,313,450,3,['1 54 36 319 235'],54,36,319,235,0.12,0.11501597444089456,0.7088888888888889,0.7507987220447284,1,4
4,C:\Users\Oleg\Google Drive\Projects\cv\cat dogs classifier\data\Abyssinian_102.jpg,465,500,3,['1 23 27 325 320'],23,27,325,320,0.046,0.05806451612903226,0.65,0.6881720430107527,1,1
5,C:\Users\Oleg\Google Drive\Projects\cv\cat dogs classifier\data\Abyssinian_103.jpg,351,500,3,['1 241 68 362 196'],241,68,362,196,0.482,0.19373219373219372,0.724,0.5584045584045584,1,1
6,C:\Users\Oleg\Google Drive\Projects\cv\cat dogs classifier\data\Abyssinian_105.jpg,375,500,3,['1 237 101 373 227'],237,101,373,227,0.474,0.2693333333333333,0.746,0.6053333333333333,1,0
7,C:\Users\Oleg\Google Drive\Projects\cv\cat dogs classifier\data\Abyssinian_106.jpg,1024,1536,3,['1 861 156 1302 563'],861,156,1302,563,0.560546875,0.15234375,0.84765625,0.5498046875,1,3
8,C:\Users\Oleg\Google Drive\Projects\cv\cat dogs classifier\data\Abyssinian_107.jpg,448,500,3,['1 94 76 275 271'],94,76,275,271,0.188,0.16964285714285715,0.55,0.6049107142857143,1,2
9,C:\Users\Oleg\Google Drive\Projects\cv\cat dogs classifier\data\Abyssinian_108.jpg,404,500,3,['1 50 14 336 304'],50,14,336,304,0.1,0.034653465346534656,0.672,0.7524752475247525,1,0
10,C:\Users\Oleg\Google Drive\Projects\cv\cat dogs classifier\data\Abyssinian_11.jpg,288,192,3,['1 43 57 94 105'],43,57,94,105,0.22395833333333334,0.19791666666666666,0.4895833333333333,0.3645833333333333,1,4
11,C:\Users\Oleg\Google Drive\Projects\cv\cat dogs classifier\data\Abyssinian_110.jpg,319,400,3,['1 25 8 175 162'],25,8,175,162,0.0625,0.025078369905956112,0.4375,0.5078369905956113,1,1
